 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation
CN0501500000000,5,15,"Carroll County, AR"
CN0501700000000,5,17,"Chicot County, AR"
CN0501900000000,5,19,"Clark County, AR"
CN0502100000000,5,21,"Clay County, AR"
CN0502300000000,5,23,"Cleburne County, AR"
CN0502500000000,5,25,"Cleveland County, AR"
CN0502700000000,5,27,"Columbia County, AR"
CN0502900000000,5,29,"Conway County, AR"
CN0503100000000,5,31,"Craighead County, AR"
CN0503300000000,5,33,"Crawford County, AR"
CN0503500000000,5,35,"Crittenden County, AR"
CN0503700000000,5,37,"Cross County, AR"
CN0503900000000,5,39,"Dallas County, AR"
CN0504100000000,5,41,"Desha County, AR"
CN0504300000000,5,43,"Drew County, AR"
CN0504500000000,5,45,"Faulkner County, AR"
CN0504700000000,5,47,"Franklin County, AR"
CN0504900000000,5,49,"Fulton County, AR"
CN0505100000000,5,51,"Garland County, AR"
CN0505300000000,5,53,"Grant County, AR"
CN0505500000000,5,55,"Greene County, AR"
CN0505700000000,5,57,"Hempstead County, AR"
CN0505900000000,5,59,"Hot Spring County, AR"
CN0506100000000,5,61,"Howard County, AR"
CN0506300000000,5,63,"Independence County, AR"
CN0506500000000,5,65,"Izard County, AR"
CN0506700000000,5,67,"Jackson County, AR"
CN0506900000000,5,69,"Jefferson County, AR"
CN0507100000000,5,71,"Johnson County, AR"
CN0507300000000,5,73,"Lafayette County, AR"
CN0507500000000,5,75,"Lawrence County, AR"
CN0507700000000,5,77,"Lee County, AR"
CN0507900000000,5,79,"Lincoln County, AR"
CN0508100000000,5,81,"Little River County, AR"
CN0508300000000,5,83,"Logan County, AR"
CN0508500000000,5,85,"Lonoke County, AR"
CN0508700000000,5,87,"Madison County, AR"
CN0508900000000,5,89,"Marion County, AR"
CN0509100000000,5,91,"Miller County, AR"
CN0509300000000,5,93,"Mississippi County, AR"
CN0509500000000,5,95,"Monroe County, AR"
CN0509700000000,5,97,"Montgomery County, AR"
CN0509900000000,5,99,"Nevada County, AR"
CN0510100000000,5,101,"Newton County, AR"
CN0510300000000,5,103,"Ouachita County, AR"
CN0510500000000,5,105,"Perry County, AR"
CN0510700000000,5,107,"Phillips County, AR"
CN0510900000000,5,109,"Pike County, AR"
CN0511100000000,5,111,"Poinsett County, AR"
CN0511300000000,5,113,"Polk County, AR"
CN0511500000000,5,115,"Pope County, AR"
CN0511700000000,5,117,"Prairie County, AR"
CN0511900000000,5,119,"Pulaski County, AR"
CN0512100000000,5,121,"Randolph County, AR"
CN0512300000000,5,123,"St. Francis County, AR"
CN0512500000000,5,125,"Saline County, AR"
CN0512700000000,5,127,"Scott County, AR"
CN0512900000000,5,129,"Searcy County, AR"
CN0513100000000,5,131,"Sebastian County, AR"
CN0513300000000,5,133,"Sevier County, AR"
CN0513500000000,5,135,"Sharp County, AR"
CN0513700000000,5,137,"Stone County, AR"
CN0513900000000,5,139,"Union County, AR"
CN0514100000000,5,141,"Van Buren County, AR"
CN0514300000000,5,143,"Washington County, AR"
CN0514500000000,5,145,"White County, AR"
CN0514700000000,5,147,"Woodruff County, AR"
CN0514900000000,5,149,"Yell County, AR"
CN0600100000000,6,1,"Alameda County, CA"
CN0600300000000,6,3,"Alpine County, CA"
CN0600500000000,6,5,"Amador County, CA"
CN0600700000000,6,7,"Butte County, CA"
CN0600900000000,6,9,"Calaveras County, CA"
CN0601100000000,6,11,"Colusa County, CA"
CN0601300000000,6,13,"Contra Costa County, CA"
CN0601500000000,6,15,"Del Norte County, CA"
CN0601700000000,6,17,"El Dorado County, CA"
CN0601900000000,6,19,"Fresno County, CA"
CN0602100000000,6,21,"Glenn County, CA"
CN0602300000000,6,23,"Humboldt County, CA"
CN0602500000000,6,25,"Imperial County, CA"
CN0602700000000,6,27,"Inyo County, CA"
CN0602900000000,6,29,"Kern County, CA"
CN0603100000000,6,31,"Kings County, CA"
CN0603300000000,6,33,"Lake County, CA"
CN0603500000000,6,35,"Lassen County, CA"
CN0603700000000,6,37,"Los Angeles County, CA"
CN0603900000000,6,39,"Madera County, CA"
CN0604100000000,6,41,"Marin County, CA"
CN0604300000000,6,43,"Mariposa County, CA"
CN0604500000000,6,45,"Mendocino County, CA"
CN0604700000000,6,47,"Merced County, CA"
CN0604900000000,6,49,"Modoc County, CA"
CN0605100000000,6,51,"Mono County, CA"
CN0605300000000,6,53,"Monterey County, CA"
CN0605500000000,6,55,"Napa County, CA"
CN0605700000000,6,57,"Nevada County, CA"
CN0605900000000,6,59,"Orange County, CA"
CN0606100000000,6,61,"Placer County, CA"
CN0606300000000,6,63,"Plumas County, CA"
CN0606500000000,6,65,"Riverside County, CA"
CN0606700000000,6,67,"Sacramento County, CA"
CN0606900000000,6,69,"San Benito County, CA"
CN0607100000000,6,71,"San Bernardino County, CA"
CN0607300000000,6,73,"San Diego County, CA"
CN0607500000000,6,75,"San Francisco County/city, CA"
CN0607700000000,6,77,"San Joaquin County, CA"
CN0607900000000,6,79,"San Luis Obispo County, CA"
CN0608100000000,6,81,"San Mateo County, CA"
CN0608300000000,6,83,"Santa Barbara County, CA"
CN0608500000000,6,85,"Santa Clara County, CA"
CN0608700000000,6,87,"Santa Cruz County, CA"
CN0608900000000,6,89,"Shasta County, CA"
CN0609100000000,6,91,"Sierra County, CA"
CN0609300000000,6,93,"Siskiyou County, CA"
CN0609500000000,6,95,"Solano County, CA"
CN0609700000000,6,97,"Sonoma County, CA"
CN0609900000000,6,99,"Stanislaus County, CA"
CN0610100000000,6,101,"Sutter County, CA"
CN0610300000000,6,103,"Tehama County, CA"
CN0610500000000,6,105,"Trinity County, CA"
CN0610700000000,6,107,"Tulare County, CA"
CN0610900000000,6,109,"Tuolumne County, CA"
CN0611100000000,6,111,"Ventura County, CA"
CN0611300000000,6,113,"Yolo County, CA"
CN0611500000000,6,115,"Yuba County, CA"
CN0800100000000,8,1,"Adams County, CO"
CN0800300000000,8,3,"Alamosa County, CO"
CN0800500000000,8,5,"Arapahoe County, CO"
CN0800700000000,8,7,"Archuleta County, CO"
CN0800900000000,8,9,"Baca County, CO"
CN0801100000000,8,11,"Bent County, CO"
CN0801300000000,8,13,"Boulder County, CO"
CN0801400000000,8,14,"Broomfield County/city, CO"
CN0801500000000,8,15,"Chaffee County, CO"
CN0801700000000,8,17,"Cheyenne County, CO"
CN0801900000000,8,19,"Clear Creek County, CO"
CN0802100000000,8,21,"Conejos County, CO"
CN0802300000000,8,23,"Costilla County, CO"
CN0802500000000,8,25,"Crowley County, CO"
CN0802700000000,8,27,"Custer County, CO"
CN0802900000000,8,29,"Delta County, CO"
CN0803100000000,8,31,"Denver County/city, CO"
CN0803300000000,8,33,"Dolores County, CO"
CN0803500000000,8,35,"Douglas County, CO"
CN0803700000000,8,37,"Eagle County, CO"
CN0803900000000,8,39,"Elbert County, CO"
CN0804100000000,8,41,"El Paso County, CO"
CN0804300000000,8,43,"Fremont County, CO"
CN0804500000000,8,45,"Garfield County, CO"
CN0804700000000,8,47,"Gilpin County, CO"
CN0804900000000,8,49,"Grand County, CO"
CN0805100000000,8,51,"Gunnison County, CO"
CN0805300000000,8,53,"Hinsdale County, CO"
CN0805500000000,8,55,"Huerfano County, CO"
CN0805700000000,8,57,"Jackson County, CO"
CN0805900000000,8,59,"Jefferson County, CO"
CN0806100000000,8,61,"Kiowa County, CO"
CN0806300000000,8,63,"Kit Carson County, CO"
CN0806500000000,8,65,"Lake County, CO"
CN0806700000000,8,67,"La Plata County, CO"
CN0806900000000,8,69,"Larimer County, CO"
CN0807100000000,8,71,"Las Animas County, CO"
CN0807300000000,8,73,"Lincoln County, CO"
CN0807500000000,8,75,"Logan County, CO"
CN0807700000000,8,77,"Mesa County, CO"
CN0807900000000,8,79,"Mineral County, CO"
CN0808100000000,8,81,"Moffat County, CO"
CN0808300000000,8,83,"Montezuma County, CO"
CN0808500000000,8,85,"Montrose County, CO"
CN0808700000000,8,87,"Morgan County, CO"
CN0808900000000,8,89,"Otero County, CO"
CN0809100000000,8,91,"Ouray County, CO"
CN0809300000000,8,93,"Park County, CO"
CN0809500000000,8,95,"Phillips County, CO"
CN0809700000000,8,97,"Pitkin County, CO"
CN0809900000000,8,99,"Prowers County, CO"
CN0810100000000,8,101,"Pueblo County, CO"
CN0810300000000,8,103,"Rio Blanco County, CO"
CN0810500000000,8,105,"Rio Grande County, CO"
CN0810700000000,8,107,"Routt County, CO"
CN0810900000000,8,109,"Saguache County, CO"
CN0811100000000,8,111,"San Juan County, CO"
CN0811300000000,8,113,"San Miguel County, CO"
CN0811500000000,8,115,"Sedgwick County, CO"
CN0811700000000,8,117,"Summit County, CO"
CN0811900000000,8,119,"Teller County, CO"
CN0812100000000,8,121,"Washington County, CO"
CN0812300000000,8,123,"Weld County, CO"
CN0812500000000,8,125,"Yuma County, CO"
CN0900100000000,9,1,"Fairfield County, CT"
CN0900300000000,9,3,"Hartford County, CT"
CN0900500000000,9,5,"Litchfield County, CT"
CN0900700000000,9,7,"Middlesex County, CT"
CN0900900000000,9,9,"New Haven County, CT"
CN0901100000000,9,11,"New London County, CT"
CN0901300000000,9,13,"Tolland County, CT"
CN0901500000000,9,15,"Windham County, CT"
CN1000100000000,10,1,"Kent County, DE"
CN1000300000000,10,3,"New Castle County, DE"
CN1000500000000,10,5,"Sussex County, DE"
CN1100100000000,11,1,District of Columbia
CN1200100000000,12,1,"Alachua County, FL"
CN1200300000000,12,3,"Baker County, FL"
CN1200500000000,12,5,"Bay County, FL"
CN1200700000000,12,7,"Bradford County, FL"
CN1200900000000,12,9,"Brevard County, FL"
CN1201100000000,12,11,"Broward County, FL"
CN1201300000000,12,13,"Calhoun County, FL"
CN1201500000000,12,15,"Charlotte County, FL"
CN1201700000000,12,17,"Citrus County, FL"
CN1201900000000,12,19,"Clay County, FL"
CN1202100000000,12,21,"Collier County, FL"
CN1202300000000,12,23,"Columbia County, FL"
CN1202700000000,12,27,"DeSoto County, FL"
CN1202900000000,12,29,"Dixie County, FL"
CN1203100000000,12,31,"Duval County, FL"
CN1203300000000,12,33,"Escambia County, FL"
CN1203500000000,12,35,"Flagler County, FL"
CN1203700000000,12,37,"Franklin County, FL"
CN1203900000000,12,39,"Gadsden County, FL"
CN1204100000000,12,41,"Gilchrist County, FL"
CN1204300000000,12,43,"Glades County, FL"
CN1204500000000,12,45,"Gulf County, FL"
CN1204700000000,12,47,"Hamilton County, FL"
CN1204900000000,12,49,"Hardee County, FL"
CN1205100000000,12,51,"Hendry County, FL"
CN1205300000000,12,53,"Hernando County, FL"
CN1205500000000,12,55,"Highlands County, FL"
CN1205700000000,12,57,"Hillsborough County, FL"
CN1205900000000,12,59,"Holmes County, FL"
CN1206100000000,12,61,"Indian River County, FL"
CN1206300000000,12,63,"Jackson County, FL"
CN1206500000000,12,65,"Jefferson County, FL"
CN1206700000000,12,67,"Lafayette County, FL"
CN1206900000000,12,69,"Lake County, FL"
CN1207100000000,12,71,"Lee County, FL"
CN1207300000000,12,73,"Leon County, FL"
CN1207500000000,12,75,"Levy County, FL"
CN1207700000000,12,77,"Liberty County, FL"
CN1207900000000,12,79,"Madison County, FL"
CN1208100000000,12,81,"Manatee County, FL"
CN1208300000000,12,83,"Marion County, FL"
CN1208500000000,12,85,"Martin County, FL"
CN1208600000000,12,86,"Miami-Dade County, FL"
CN1208700000000,12,87,"Monroe County, FL"
CN1208900000000,12,89,"Nassau County, FL"
CN1209100000000,12,91,"Okaloosa County, FL"
CN1209300000000,12,93,"Okeechobee County, FL"
CN1209500000000,12,95,"Orange County, FL"
CN1209700000000,12,97,"Osceola County, FL"
CN1209900000000,12,99,"Palm Beach County, FL"
CN1210100000000,12,101,"Pasco County, FL"
CN1210300000000,12,103,"Pinellas County, FL"
CN1210500000000,12,105,"Polk County, FL"
CN1210700000000,12,107,"Putnam County, FL"
CN1210900000000,12,109,"St. Johns County, FL"
CN1211100000000,12,111,"St. Lucie County, FL"
CN1211300000000,12,113,"Santa Rosa County, FL"
CN1211500000000,12,115,"Sarasota County, FL"
CN1211700000000,12,117,"Seminole County, FL"
CN1211900000000,12,119,"Sumter County, FL"
CN1212100000000,12,121,"Suwannee County, FL"
CN1212300000000,12,123,"Taylor County, FL"
CN1212500000000,12,125,"Union County, FL"
CN1212700000000,12,127,"Volusia County, FL"
CN1212900000000,12,129,"Wakulla County, FL"
CN1213100000000,12,131,"Walton County, FL"
CN1213300000000,12,133,"Washington County, FL"
CN1300100000000,13,1,"Appling County, GA"
CN1300300000000,13,3,"Atkinson County, GA"
CN1300500000000,13,5,"Bacon County, GA"
CN1300700000000,13,7,"Baker County, GA"
CN1300900000000,13,9,"Baldwin County, GA"
CN1301100000000,13,11,"Banks County, GA"
CN1301300000000,13,13,"Barrow County, GA"
CN1301500000000,13,15,"Bartow County, GA"
CN1301700000000,13,17,"Ben Hill County, GA"
CN1301900000000,13,19,"Berrien County, GA"
CN1302100000000,13,21,"Bibb County, GA"
CN1302300000000,13,23,"Bleckley County, GA"
CN1302500000000,13,25,"Brantley County, GA"
CN1302700000000,13,27,"Brooks County, GA"
CN1302900000000,13,29,"Bryan County, GA"
CN1303100000000,13,31,"Bulloch County, GA"
CN1303300000000,13,33,"Burke County, GA"
CN1303500000000,13,35,"Butts County, GA"
CN1303700000000,13,37,"Calhoun County, GA"
CN1303900000000,13,39,"Camden County, GA"
CN1304300000000,13,43,"Candler County, GA"
CN1304500000000,13,45,"Carroll County, GA"
CN1304700000000,13,47,"Catoosa County, GA"
CN1304900000000,13,49,"Charlton County, GA"
CN1305100000000,13,51,"Chatham County, GA"
CN1305300000000,13,53,"Chattahoochee County, GA"
CN1305500000000,13,55,"Chattooga County, GA"
CN1305700000000,13,57,"Cherokee County, GA"
CN1305900000000,13,59,"Clarke County, GA"
CN1306100000000,13,61,"Clay County, GA"
CN1306300000000,13,63,"Clayton County, GA"
CN1306500000000,13,65,"Clinch County, GA"
CN1306700000000,13,67,"Cobb County, GA"
CN1306900000000,13,69,"Coffee County, GA"
CN1307100000000,13,71,"Colquitt County, GA"
CN1307300000000,13,73,"Columbia County, GA"
CN1307500000000,13,75,"Cook County, GA"
CN1307700000000,13,77,"Coweta County, GA"
CN1307900000000,13,79,"Crawford County, GA"
CN1308100000000,13,81,"Crisp County, GA"
CN1308300000000,13,83,"Dade County, GA"
CN1308500000000,13,85,"Dawson County, GA"
CN1308700000000,13,87,"Decatur County, GA"
CN1308900000000,13,89,"DeKalb County, GA"
CN1309100000000,13,91,"Dodge County, GA"
CN1309300000000,13,93,"Dooly County, GA"
CN1309500000000,13,95,"Dougherty County, GA"
CN1309700000000,13,97,"Douglas County, GA"
CN1309900000000,13,99,"Early County, GA"
CN1310100000000,13,101,"Echols County, GA"
CN1310300000000,13,103,"Effingham County, GA"
CN1310500000000,13,105,"Elbert County, GA"
CN1310700000000,13,107,"Emanuel County, GA"
CN1310900000000,13,109,"Evans County, GA"
CN1311100000000,13,111,"Fannin County, GA"
CN1311300000000,13,113,"Fayette County, GA"
CN1311500000000,13,115,"Floyd County, GA"
CN1311700000000,13,117,"Forsyth County, GA"
CN1311900000000,13,119,"Franklin County, GA"
CN1312100000000,13,121,"Fulton County, GA"
CN1312300000000,13,123,"Gilmer County, GA"
CN1312500000000,13,125,"Glascock County, GA"
CN1312700000000,13,127,"Glynn County, GA"
CN1312900000000,13,129,"Gordon County, GA"
CN1313100000000,13,131,"Grady County, GA"
CN1313300000000,13,133,"Greene County, GA"
CN1313500000000,13,135,"Gwinnett County, GA"
CN1313700000000,13,137,"Habersham County, GA"
CN1313900000000,13,139,"Hall County, GA"
CN1314100000000,13,141,"Hancock County, GA"
CN1314300000000,13,143,"Haralson County, GA"
CN1314500000000,13,145,"Harris County, GA"
CN1314700000000,13,147,"Hart County, GA"
CN1314900000000,13,149,"Heard County, GA"
CN1315100000000,13,151,"Henry County, GA"
CN1315300000000,13,153,"Houston County, GA"
CN1315500000000,13,155,"Irwin County, GA"
CN1315700000000,13,157,"Jackson County, GA"
CN1315900000000,13,159,"Jasper County, GA"
CN1316100000000,13,161,"Jeff Davis County, GA"
CN1316300000000,13,163,"Jefferson County, GA"
CN1316500000000,13,165,"Jenkins County, GA"
CN1316700000000,13,167,"Johnson County, GA"
CN1316900000000,13,169,"Jones County, GA"
CN1317100000000,13,171,"Lamar County, GA"
CN1317300000000,13,173,"Lanier County, GA"
CN1317500000000,13,175,"Laurens County, GA"
CN1317700000000,13,177,"Lee County, GA"
CN1317900000000,13,179,"Liberty County, GA"
CN1318100000000,13,181,"Lincoln County, GA"
CN1318300000000,13,183,"Long County, GA"
CN1318500000000,13,185,"Lowndes County, GA"
CN1318700000000,13,187,"Lumpkin County, GA"
CN1318900000000,13,189,"McDuffie County, GA"
CN1319100000000,13,191,"McIntosh County, GA"
CN1319300000000,13,193,"Macon County, GA"
CN1319500000000,13,195,"Madison County, GA"
CN1319700000000,13,197,"Marion County, GA"
CN1319900000000,13,199,"Meriwether County, GA"
CN1320100000000,13,201,"Miller County, GA"
CN1320500000000,13,205,"Mitchell County, GA"
CN1320700000000,13,207,"Monroe County, GA"
CN1320900000000,13,209,"Montgomery County, GA"
CN1321100000000,13,211,"Morgan County, GA"
CN1321300000000,13,213,"Murray County, GA"
CN1321500000000,13,215,"Muscogee County, GA"
CN1321700000000,13,217,"Newton County, GA"
CN1321900000000,13,219,"Oconee County, GA"
CN1322100000000,13,221,"Oglethorpe County, GA"
CN1322300000000,13,223,"Paulding County, GA"
CN1322500000000,13,225,"Peach County, GA"
CN1322700000000,13,227,"Pickens County, GA"
CN1322900000000,13,229,"Pierce County, GA"
CN1323100000000,13,231,"Pike County, GA"
CN1323300000000,13,233,"Polk County, GA"
CN1323500000000,13,235,"Pulaski County, GA"
CN1323700000000,13,237,"Putnam County, GA"
CN1323900000000,13,239,"Quitman County, GA"
CN1324100000000,13,241,"Rabun County, GA"
CN1324300000000,13,243,"Randolph County, GA"
CN1324500000000,13,245,"Richmond County, GA"
CN1324700000000,13,247,"Rockdale County, GA"
CN1324900000000,13,249,"Schley County, GA"
CN1325100000000,13,251,"Screven County, GA"
CN1325300000000,13,253,"Seminole County, GA"
CN1325500000000,13,255,"Spalding County, GA"
CN1325700000000,13,257,"Stephens County, GA"
CN1325900000000,13,259,"Stewart County, GA"
CN1326100000000,13,261,"Sumter County, GA"
CN1326300000000,13,263,"Talbot County, GA"
CN1326500000000,13,265,"Taliaferro County, GA"
CN1326700000000,13,267,"Tattnall County, GA"
CN1326900000000,13,269,"Taylor County, GA"
CN1327100000000,13,271,"Telfair County, GA"
CN1327300000000,13,273,"Terrell County, GA"
CN1327500000000,13,275,"Thomas County, GA"
CN1327700000000,13,277,"Tift County, GA"
CN1327900000000,13,279,"Toombs County, GA"
CN1328100000000,13,281,"Towns County, GA"
CN1328300000000,13,283,"Treutlen County, GA"
CN1328500000000,13,285,"Troup County, GA"
CN1328700000000,13,287,"Turner County, GA"
CN1328900000000,13,289,"Twiggs County, GA"
CN1329100000000,13,291,"Union County, GA"
CN1329300000000,13,293,"Upson County, GA"
CN1329500000000,13,295,"Walker County, GA"
CN1329700000000,13,297,"Walton County, GA"
CN1329900000000,13,299,"Ware County, GA"
CN1330100000000,13,301,"Warren County, GA"
CN1330300000000,13,303,"Washington County, GA"
CN1330500000000,13,305,"Wayne County, GA"
CN1330700000000,13,307,"Webster County, GA"
CN1330900000000,13,309,"Wheeler County, GA"
CN1331100000000,13,311,"White County, GA"
CN1331300000000,13,313,"Whitfield County, GA"
CN1331500000000,13,315,"Wilcox County, GA"
CN1331700000000,13,317,"Wilkes County, GA"
CN1331900000000,13,319,"Wilkinson County, GA"
CN1332100000000,13,321,"Worth County, GA"
CN1500100000000,15,1,"Hawaii County, HI"
CN1500300000000,15,3,"Honolulu County/city, HI"
CN1500700000000,15,7,"Kauai County, HI"
CN1500900000000,15,9,"Maui County, HI"
CN1600100000000,16,1,"Ada County, ID"
CN1600300000000,16,3,"Adams County, ID"
CN1600500000000,16,5,"Bannock County, ID"
CN1600700000000,16,7,"Bear Lake County, ID"
CN1600900000000,16,9,"Benewah County, ID"
CN1601100000000,16,11,"Bingham County, ID"
CN1601300000000,16,13,"Blaine County, ID"
CN1601500000000,16,15,"Boise County, ID"
CN1601700000000,16,17,"Bonner County, ID"
CN1601900000000,16,19,"Bonneville County, ID"
CN1602100000000,16,21,"Boundary County, ID"
CN1602300000000,16,23,"Butte County, ID"
CN1602500000000,16,25,"Camas County, ID"
CN1602700000000,16,27,"Canyon County, ID"
CN1602900000000,16,29,"Caribou County, ID"
CN1603100000000,16,31,"Cassia County, ID"
CN1603300000000,16,33,"Clark County, ID"
CN1603500000000,16,35,"Clearwater County, ID"
CN1603700000000,16,37,"Custer County, ID"
CN1603900000000,16,39,"Elmore County, ID"
CN1604100000000,16,41,"Franklin County, ID"
CN1604300000000,16,43,"Fremont County, ID"
CN1604500000000,16,45,"Gem County, ID"
CN1604700000000,16,47,"Gooding County, ID"
CN1604900000000,16,49,"Idaho County, ID"
CN1605100000000,16,51,"Jefferson County, ID"
CN1605300000000,16,53,"Jerome County, ID"
CN1605500000000,16,55,"Kootenai County, ID"
CN1605700000000,16,57,"Latah County, ID"
CN1605900000000,16,59,"Lemhi County, ID"
CN1606100000000,16,61,"Lewis County, ID"
CN1606300000000,16,63,"Lincoln County, ID"
CN1606500000000,16,65,"Madison County, ID"
CN1606700000000,16,67,"Minidoka County, ID"
CN1606900000000,16,69,"Nez Perce County, ID"
CN1607100000000,16,71,"Oneida County, ID"
CN1607300000000,16,73,"Owyhee County, ID"
CN1607500000000,16,75,"Payette County, ID"
CN1607700000000,16,77,"Power County, ID"
CN1607900000000,16,79,"Shoshone County, ID"
CN1608100000000,16,81,"Teton County, ID"
CN1608300000000,16,83,"Twin Falls County, ID"
CN1608500000000,16,85,"Valley County, ID"
CN1608700000000,16,87,"Washington County, ID"
CN1700100000000,17,1,"Adams County, IL"
CN1700300000000,17,3,"Alexander County, IL"
